БД для городских самокатов. Характеристик: 6 Кол-во_самокатов: 10
ID_Num;Серийный_номер;Статус;Локация;Заряд_батареи(%);Состояние
1;SN001A98BC;Арендован;[55.7558, 37.6176];78;Исправен
2;SN002B76DE;Свободен;[55.7512, 37.6174];92;Исправен
3;SN003C54FG;Обслуживание;[    Склад №1    ];45;Требуется ремонт
4;SN004D32HI;Свободен;[55.7489, 37.6210];65;Исправен
5;SN005E10JK;Арендован;[55.7601, 37.6095];22;Исправен
6;SN006F99LM;Свободен;[55.7535, 37.6254];100;Исправен
7;SN007G88NO;Заблокирован;[55.7505, 37.6150];5;Требуется ремонт
8;SN008H77PQ;Свободен;[55.7542, 37.6188];84;Исправен
9;SN009I66RS;Арендован;[55.7567, 37.6122];30;Исправен
10;SN010J55TU;Свободен;[55.7591, 37.6145];55;Исправен
